8.44E-05,Kandy Proper,13/04/2019,14/04/2019
,Kandy Proper,14/04/2019,15/04/2019
,Kandy Proper,15/04/2019,16/04/2019
,Kandy Proper,16/04/2019,17/04/2019
,Kandy Proper,17/04/2019,18/04/2019
0.000136739,Kandy Proper,18/04/2019,19/04/2019
0.000150207,Kandy Proper,19/04/2019,20/04/2019
-0.000214209,Kandy Proper,20/04/2019,21/04/2019
0.000133053,Kandy Proper,21/04/2019,22/04/2019
0.000265266,Kandy Proper,22/04/2019,23/04/2019
0.000189701,Kandy Proper,23/04/2019,24/04/2019
0.0001152,Kandy Proper,24/04/2019,25/04/2019
,Kandy Proper,25/04/2019,26/04/2019
,Kandy Proper,26/04/2019,27/04/2019
,Kandy Proper,27/04/2019,28/04/2019
0.000173881,Kandy Proper,28/04/2019,29/04/2019
,Kandy Proper,29/04/2019,30/04/2019
,Kandy Proper,30/04/2019,01/05/2019
,Kandy Proper,01/05/2019,02/05/2019
,Kandy Proper,02/05/2019,03/05/2019
,Kandy Proper,03/05/2019,04/05/2019
0.000214124,Kandy Proper,04/05/2019,05/05/2019
7.56E-05,Kandy Proper,05/05/2019,06/05/2019
0.000162948,Kandy Proper,06/05/2019,07/05/2019
0.000149201,Kandy Proper,07/05/2019,08/05/2019
0.000165925,Kandy Proper,08/05/2019,09/05/2019
0.000147234,Kandy Proper,09/05/2019,10/05/2019
0.000240621,Kandy Proper,10/05/2019,11/05/2019
0.000177408,Kandy Proper,11/05/2019,12/05/2019
7.85E-05,Kandy Proper,12/05/2019,13/05/2019
8.48E-05,Kandy Proper,13/05/2019,14/05/2019
0.000256593,Kandy Proper,14/05/2019,15/05/2019
0.000108439,Kandy Proper,15/05/2019,16/05/2019
0.000258151,Kandy Proper,16/05/2019,17/05/2019
0.000162673,Kandy Proper,17/05/2019,18/05/2019
0.000131618,Kandy Proper,18/05/2019,19/05/2019
0.000184642,Kandy Proper,19/05/2019,20/05/2019
0.000193141,Kandy Proper,20/05/2019,21/05/2019
0.000108728,Kandy Proper,21/05/2019,22/05/2019
,Kandy Proper,22/05/2019,23/05/2019
0.000328325,Kandy Proper,23/05/2019,24/05/2019
0.000101329,Kandy Proper,24/05/2019,25/05/2019
-1.12E-05,Kandy Proper,25/05/2019,26/05/2019
0.00010027,Kandy Proper,26/05/2019,27/05/2019
0.00019206,Kandy Proper,27/05/2019,28/05/2019
0.00017668,Kandy Proper,28/05/2019,29/05/2019
0.000270799,Kandy Proper,29/05/2019,30/05/2019
0.000267879,Kandy Proper,30/05/2019,31/05/2019
0.000148419,Kandy Proper,31/05/2019,01/06/2019
2.74E-05,Kandy Proper,01/06/2019,02/06/2019
0.00013724,Kandy Proper,02/06/2019,03/06/2019
,Kandy Proper,03/06/2019,04/06/2019
0.000110295,Kandy Proper,04/06/2019,05/06/2019
,Kandy Proper,05/06/2019,06/06/2019
,Kandy Proper,06/06/2019,07/06/2019
,Kandy Proper,07/06/2019,08/06/2019
,Kandy Proper,08/06/2019,09/06/2019
0.000129823,Kandy Proper,09/06/2019,10/06/2019
,Kandy Proper,10/06/2019,11/06/2019
9.30E-05,Kandy Proper,11/06/2019,12/06/2019
,Kandy Proper,12/06/2019,13/06/2019
0.000122775,Kandy Proper,13/06/2019,14/06/2019
,Kandy Proper,14/06/2019,15/06/2019
0.000110979,Kandy Proper,15/06/2019,16/06/2019
8.98E-05,Kandy Proper,16/06/2019,17/06/2019
1.57E-07,Kandy Proper,17/06/2019,18/06/2019
7.38E-05,Kandy Proper,18/06/2019,19/06/2019
0.000113737,Kandy Proper,19/06/2019,20/06/2019
,Kandy Proper,20/06/2019,21/06/2019
,Kandy Proper,21/06/2019,22/06/2019
-7.30E-05,Kandy Proper,22/06/2019,23/06/2019
-3.88E-06,Kandy Proper,23/06/2019,24/06/2019
,Kandy Proper,24/06/2019,25/06/2019
,Kandy Proper,25/06/2019,26/06/2019
2.52E-05,Kandy Proper,26/06/2019,27/06/2019
7.84E-05,Kandy Proper,27/06/2019,28/06/2019
6.98E-05,Kandy Proper,28/06/2019,29/06/2019
8.64E-05,Kandy Proper,29/06/2019,30/06/2019
5.77E-05,Kandy Proper,30/06/2019,01/07/2019
4.85E-05,Kandy Proper,01/07/2019,02/07/2019
